Monthly_Income,Existing_EMI,Var1,Loan_Amount,Loan_Period,Loan_Info_Missing,Age,Age_Missing,DTI,Log_Income,Loan_to_Income,EMI_Zero_Flag,Gender,City_Category,Employer_Category1,Employer_Category2,Customer_Existing_Primary_Bank_Code,Primary_Bank_Type,Source,Source_Category,City_Code,Age_Bin,Approved
4000.0,0.0,7,61000.0,4.0,0,31.0,0,0.0,8.294299608857235,15.249999961875,1,1,0,2,3,1,1,6,2,0,1,0
3000.0,0.0,7,60000.0,5.0,0,29.0,0,0.0,8.006700845440367,19.99999993333333,1,1,2,2,3,2,0,6,1,96,1,0
4000.0,0.0,10,31000.0,4.0,1,26.0,0,0.0,8.294299608857235,7.749999980625,1,0,0,0,3,1,1,6,1,0,1,0
3363.7,0.0,4,56000.0,5.0,0,29.0,0,0.0,8.121094085058397,16.64833363067951,1,1,0,0,0,1,1,0,5,1,1,0
3000.0,0.0,10,31000.0,4.0,1,32.0,0,0.0,8.006700845440367,10.333333298888888,1,0,0,1,3,0,1,6,1,6,1,0
4000.0,446.5,10,5000.0,5.0,0,40.0,0,0.11162499972093749,8.294299608857235,1.249999996875,0,1,0,2,2,1,1,6,1,2,2,0
2910.0,0.0,4,44000.0,5.0,0,30.0,0,0.0,7.976251943745623,15.120274862129639,1,1,0,0,3,20,1,6,2,6,1,0
3000.0,0.0,7,5000.0,3.0,0,29.0,0,0.0,8.006700845440367,1.666666661111111,1,1,0,0,3,3,1,0,1,2,1,0
3000.0,0.0,7,10000.0,3.0,0,29.0,0,0.0,8.006700845440367,3.333333322222222,1,1,0,0,3,3,1,0,1,2,1,0
5000.0,0.0,10,31000.0,4.0,1,29.0,0,0.0,8.517393171418904,6.1999999876,1,0,0,1,3,3,1,0,1,2,1,0
1000.0,500.0,0,31000.0,4.0,1,24.0,0,0.4999999950000001,6.90875477931522,30.999999690000003,0,0,0,0,3,1,1,6,1,0,0,0
1100.0,550.0,0,31000.0,4.0,1,25.0,0,0.4999999954545455,7.00397413672268,28.18181792561984,0,0,0,0,3,15,0,6,4,3,1,0
4000.0,446.5,0,31000.0,4.0,1,40.0,0,0.11162499972093749,8.294299608857235,7.749999980625,0,0,0,2,2,1,1,0,1,2,2,0
4500.0,0.0,2,94000.0,5.0,0,64.0,0,0.0,8.412054873292933,20.888888842469136,1,1,0,0,3,1,1,6,1,2,4,0
2500.0,0.0,7,30000.0,5.0,0,33.0,0,0.0,7.824445930877619,11.999999952,1,1,2,0,3,1,1,6,1,630,1,0
1800.0,0.0,2,11000.0,1.0,0,27.0,0,0.0,7.496097345175956,6.111111077160494,1,0,0,0,3,1,1,6,1,2,1,0
2000.0,0.0,4,29000.0,5.0,0,26.0,0,0.0,7.601402334583733,14.499999927500001,1,1,0,0,3,32,0,6,2,2,1,0
2050.0,0.0,4,24000.0,3.0,0,28.0,0,0.0,7.62608275807238,11.707317016061866,1,1,0,0,3,42,1,6,2,0,1,0
2500.0,0.0,10,20000.0,3.0,0,29.0,0,0.0,7.824445930877619,7.999999967999999,1,1,0,2,2,4,1,0,1,5,1,0
2000.0,0.0,4,10000.0,5.0,0,28.0,0,0.0,7.601402334583733,4.999999975000001,1,1,0,0,3,0,1,6,1,0,1,0
2470.0,0.0,4,29000.0,4.0,0,26.0,0,0.0,7.81237820598861,11.740890640725139,1,1,2,0,3,27,1,0,1,14,1,0
1700.0,0.0,0,31000.0,4.0,1,20.0,0,0.0,7.438971592395862,18.235294010380624,1,0,1,0,3,7,0,6,2,22,0,0
2000.0,0.0,4,10000.0,5.0,0,32.0,0,0.0,7.601402334583733,4.999999975000001,1,1,0,1,3,3,1,0,1,26,1,0
2380.0,0.0,4,35000.0,5.0,0,33.0,0,0.0,7.7752758464868625,14.705882291151754,1,1,1,0,2,32,0,6,2,12,1,0
1500.0,0.0,0,31000.0,4.0,1,29.0,0,0.0,7.313886831633462,20.66666652888889,1,0,0,0,3,1,1,25,1,2,1,0
2500.0,0.0,7,36000.0,5.0,0,25.0,0,0.0,7.824445930877619,14.3999999424,1,1,0,0,0,2,0,6,2,0,1,0
1826.3,500.0,2,20000.0,5.0,0,32.0,0,0.27377758159241317,7.510594746510549,10.951103263696528,0,1,0,1,3,4,1,6,4,4,1,0
1600.0,0.0,2,37000.0,5.0,0,23.0,0,0.0,7.3783837129967145,23.12499985546875,1,0,0,0,2,0,1,6,5,4,0,0
3000.0,500.0,7,10000.0,1.0,0,25.0,0,0.1666666661111111,8.006700845440367,3.333333322222222,0,0,0,0,3,2,0,10,1,0,1,0
2100.0,0.0,4,30000.0,5.0,0,24.0,0,0.0,7.650168700845001,14.285714217687074,1,1,0,2,3,46,1,25,2,19,0,0
3500.0,0.0,4,54000.0,5.0,0,37.0,0,0.0,8.160803920954665,15.428571384489794,1,1,2,2,3,1,1,25,2,35,2,0
2000.0,0.0,4,30000.0,4.0,0,28.0,0,0.0,7.601402334583733,14.999999925000001,1,1,0,2,3,3,1,6,1,3,1,0
1200.0,0.0,0,31000.0,4.0,1,37.0,0,0.0,7.0909098220799835,25.83333311805556,1,0,0,1,3,7,0,0,2,19,2,0
1938.7,0.0,2,31000.0,4.0,1,44.0,0,0.0,7.570288600924246,15.990096373909855,1,0,0,2,3,0,1,15,1,1,2,0
3500.0,0.0,7,59000.0,5.0,0,25.0,0,0.0,8.160803920954665,16.857142808979592,1,1,0,2,1,1,1,15,2,7,1,0
10000.0,0.0,10,100000.0,3.0,0,33.0,0,0.0,9.210440366976517,9.999999990000001,1,1,0,0,3,23,0,6,1,0,1,0
26000.0,1500.0,10,100000.0,5.0,0,47.0,0,0.05769230767011834,10.165890277802454,3.8461538446745562,0,1,2,0,3,2,0,6,1,30,3,0
2050.0,0.0,4,32000.0,5.0,0,22.0,0,0.0,7.62608275807238,15.609756021415823,1,1,0,2,0,5,1,25,2,3,0,0
15150.0,3750.0,10,31000.0,4.0,1,55.0,0,0.24752475231186485,9.625821815359835,2.0462046191114163,0,0,2,0,3,31,0,6,1,209,4,0
5250.0,0.0,10,30000.0,5.0,0,29.0,0,0.0,8.566173813637858,5.7142857034013605,1,1,0,0,0,1,1,6,1,1,1,0
1800.0,0.0,2,40000.0,5.0,0,39.0,0,0.0,7.496097345175956,22.22222209876543,1,1,0,1,3,0,1,15,5,0,2,0
1550.0,3.6,0,31000.0,4.0,1,29.0,0,0.0023225806301768992,7.346655163176539,19.99999987096774,0,0,0,0,3,2,0,6,1,4,1,0
2000.0,300.0,4,10000.0,2.0,0,26.0,0,0.14999999925000002,7.601402334583733,4.999999975000001,0,1,0,2,0,3,1,15,1,5,1,0
3480.0,891.0,7,20000.0,3.0,0,33.0,0,0.2560344820228894,8.15507488781144,5.747126420266878,0,1,0,2,3,9,0,0,1,2,1,0
4000.0,0.0,7,64000.0,5.0,0,26.0,0,0.0,8.294299608857235,15.999999959999998,1,1,1,0,0,0,1,6,2,22,1,0
1400.0,0.0,0,31000.0,4.0,1,27.0,0,0.0,7.244941546337007,22.14285698469388,1,0,0,0,0,2,0,6,2,6,1,0
880.0,0.0,0,31000.0,4.0,1,21.0,0,0.0,6.78105762593618,35.22727232696282,1,0,0,0,3,3,1,6,5,2,0,0
4350.0,0.0,10,30000.0,3.0,0,38.0,0,0.0,8.37816098272068,6.8965517082837895,1,1,2,0,3,7,0,6,1,120,2,0
1550.0,0.0,2,10000.0,3.0,0,28.0,0,0.0,7.346655163176539,6.451612861602498,1,1,2,0,3,19,0,6,1,161,1,0
17600.0,0.0,0,31000.0,4.0,1,19.0,0,0.0,9.77571099759397,1.7613636353628617,1,0,1,0,4,1,1,0,1,16,0,0
5500.0,0.0,7,95000.0,5.0,0,34.0,0,0.0,8.612685172875459,17.272727241322315,1,1,0,0,3,4,1,0,5,9,1,0
950.0,324.5,0,31000.0,4.0,1,27.0,0,0.34157894377285325,6.85751406254539,32.63157860387812,0,0,2,2,3,0,1,3,1,27,1,0
3000.0,0.0,4,45000.0,5.0,0,33.0,0,0.0,8.006700845440367,14.99999995,1,1,0,0,3,10,1,6,2,4,1,0
5900.0,3500.0,0,31000.0,4.0,1,31.0,0,0.5932203379775927,8.682877107057168,5.254237279230106,0,0,0,1,3,10,1,6,4,3,1,0
2700.0,0.0,10,40000.0,5.0,0,25.0,0,0.0,7.901377353792616,14.81481475994513,1,1,1,0,3,2,0,6,2,10,1,0
3500.0,0.0,4,54000.0,5.0,0,35.0,0,0.0,8.160803920954665,15.428571384489794,1,1,1,0,3,2,0,6,2,18,2,0
12000.0,4250.0,0,31000.0,4.0,1,30.0,0,0.35416666637152777,9.392745258631441,2.5833333311805555,0,0,0,1,3,4,1,6,1,5,1,0
6000.0,0.0,10,50000.0,3.0,0,29.0,0,0.0,8.699681400989514,8.333333319444446,1,1,1,1,3,3,1,0,1,8,1,0
2298.9,0.0,4,36000.0,5.0,0,28.0,0,0.0,7.740620922711164,15.659663249120607,1,1,0,1,1,3,1,6,5,1,1,0
2700.0,1300.0,0,31000.0,4.0,1,18.0,0,0.4814814796982167,7.901377353792616,11.481481438957475,0,0,2,0,3,3,1,6,1,168,0,0
7000.0,1200.0,10,50000.0,5.0,0,29.0,0,0.17142857118367347,8.853808274977197,7.142857132653061,0,1,0,0,3,1,1,0,1,2,1,0
1200.0,0.0,0,31000.0,4.0,1,29.0,0,0.0,7.0909098220799835,25.83333311805556,1,0,2,2,3,2,0,16,1,68,1,0
1200.0,0.0,0,31000.0,4.0,1,31.0,0,0.0,7.0909098220799835,25.83333311805556,1,0,0,1,3,1,1,6,2,3,1,0
6000.0,1700.0,10,30000.0,3.0,0,49.0,0,0.2833333328611111,8.699681400989514,4.999999991666667,0,1,0,0,3,30,0,0,1,3,3,0
6000.0,1400.0,7,31000.0,4.0,1,36.0,0,0.23333333294444444,8.699681400989514,5.166666658055556,0,0,2,0,3,24,0,7,1,282,2,0
4900.0,0.0,10,50000.0,3.0,0,34.0,0,0.0,8.497194544909547,10.204081611828405,1,1,0,0,3,17,0,6,1,3,1,0
1680.0,0.0,2,38000.0,5.0,0,26.0,0,0.0,7.427144133408616,22.619047484410434,1,0,0,0,3,0,1,6,5,2,1,0
2824.8,442.4,0,31000.0,4.0,1,27.0,0,0.15661285699301591,7.946546789331707,10.974228225098313,0,0,1,1,3,0,1,6,1,29,1,0
3200.0,0.0,10,20000.0,5.0,0,32.0,0,0.0,8.071218539969863,6.24999998046875,1,1,0,2,3,1,1,6,4,0,1,0
3200.0,0.0,7,20000.0,3.0,0,38.0,0,0.0,8.071218539969863,6.24999998046875,1,1,2,0,3,2,0,6,4,489,2,0
1200.0,0.0,0,31000.0,4.0,1,34.0,0,0.0,7.0909098220799835,25.83333311805556,1,0,0,0,3,24,0,0,1,2,1,0
5000.0,950.7,7,20000.0,2.0,0,53.0,0,0.19013999961972003,8.517393171418904,3.9999999920000002,0,0,2,0,3,2,0,6,4,516,3,0
3950.0,550.0,7,20000.0,4.0,0,33.0,0,0.1392405059766063,8.281723990411392,5.0632911264220475,0,0,2,0,3,2,0,6,1,375,1,0
1800.0,0.0,2,40000.0,5.0,0,57.0,0,0.0,7.496097345175956,22.22222209876543,1,0,2,0,3,32,0,6,2,17,4,0
3000.0,0.0,0,31000.0,4.0,1,19.0,0,0.0,8.006700845440367,10.333333298888888,1,0,2,0,3,51,2,25,1,139,0,0
900.0,200.0,0,31000.0,4.0,1,26.0,0,0.22222221975308645,6.803505257608338,34.4444440617284,0,0,2,0,3,0,1,6,1,259,1,0
1800.0,0.0,2,11000.0,1.0,0,24.0,0,0.0,7.496097345175956,6.111111077160494,1,1,0,1,2,0,1,6,1,3,0,0
3000.0,0.0,7,20000.0,5.0,0,50.0,0,0.0,8.006700845440367,6.666666644444444,1,1,2,0,3,51,2,25,1,139,3,0
3000.0,0.0,7,30000.0,3.0,0,39.0,0,0.0,8.006700845440367,9.999999966666666,1,1,0,1,3,1,1,1,1,3,2,0
10000.0,0.0,10,100000.0,5.0,0,26.0,0,0.0,9.210440366976517,9.999999990000001,1,1,0,0,0,0,1,0,1,1,1,0
10050.0,0.0,10,30000.0,2.0,0,39.0,0,0.0,9.21542741102474,2.985074623895448,1,1,0,2,3,0,1,15,1,0,2,0
5000.0,0.0,10,30000.0,3.0,0,26.0,0,0.0,8.517393171418904,5.999999988,1,1,0,1,3,4,1,6,4,0,1,0
1700.0,0.0,0,31000.0,4.0,1,28.0,0,0.0,7.438971592395862,18.235294010380624,1,0,0,1,3,51,2,6,1,4,1,0
2000.0,0.0,4,10000.0,2.0,0,28.0,0,0.0,7.601402334583733,4.999999975000001,1,1,0,1,3,51,2,6,1,4,1,0
1150.0,300.0,0,31000.0,4.0,1,30.0,0,0.26086956294896035,7.048386408721883,26.9565215047259,0,0,1,0,3,2,0,6,1,12,1,0
2500.0,0.0,7,50000.0,5.0,0,36.0,0,0.0,7.824445930877619,19.999999919999997,1,1,2,0,3,2,0,25,1,250,2,0
4500.0,1500.0,10,30000.0,3.0,0,41.0,0,0.3333333325925926,8.412054873292933,6.666666651851853,0,1,2,1,3,2,0,6,1,433,2,0
8500.0,1060.8,10,31000.0,4.0,1,32.0,0,0.12479999985317647,9.04793908261736,3.6470588192387545,0,0,0,0,3,6,0,6,4,4,1,0
1579.5,0.0,2,10000.0,5.0,0,26.0,0,0.0,7.365496531655673,6.331117402145505,1,1,2,0,3,1,1,0,1,147,1,0
8000.0,0.0,10,240000.0,5.0,0,28.0,0,0.0,8.987321812850125,29.999999962500002,1,1,0,2,3,0,1,6,1,1,1,0
4600.0,0.0,10,50000.0,5.0,0,28.0,0,0.0,8.434028950155469,10.869565193761815,1,1,1,0,0,2,0,7,1,38,1,0
2500.0,0.0,7,20000.0,4.0,0,23.0,0,0.0,7.824445930877619,7.999999967999999,1,1,0,2,3,3,1,22,1,26,0,0
2600.0,0.0,10,20000.0,4.0,0,22.0,0,0.0,7.8636512654486515,7.692307662721893,1,1,1,1,3,51,2,6,1,8,0,0
1500.0,0.0,2,10000.0,3.0,0,29.0,0,0.0,7.313886831633462,6.666666622222222,1,0,1,0,3,51,2,3,1,13,1,0
8300.0,0.0,10,116000.0,3.0,0,30.0,0,0.0,9.024131268455035,13.975903597619393,1,1,0,0,3,13,1,6,2,2,1,0
8000.0,3000.0,10,100000.0,5.0,0,29.0,0,0.37499999953125,8.987321812850125,12.499999984375,0,1,0,0,0,4,1,25,1,3,1,0
1100.0,220.0,0,31000.0,4.0,1,25.0,0,0.1999999981818182,7.00397413672268,28.18181792561984,0,0,0,0,3,9,0,6,1,0,1,0
2475.0,0.0,4,36000.0,5.0,0,26.0,0,0.0,7.814399633804487,14.545454486685031,1,1,0,2,3,27,1,6,2,4,1,0
5000.0,2700.0,0,31000.0,4.0,1,33.0,0,0.5399999989200001,8.517393171418904,6.1999999876,0,0,1,0,3,2,0,6,4,20,1,0
5000.0,0.0,10,25000.0,2.0,0,33.0,0,0.0,8.517393171418904,4.99999999,1,1,1,0,3,2,0,6,4,20,1,0
1888.2,0.0,2,20000.0,3.0,0,29.0,0,0.0,7.543908738021962,10.592098238575902,1,1,0,0,3,2,0,25,1,0,1,0
1800.0,600.0,0,31000.0,4.0,1,25.0,0,0.3333333314814815,7.496097345175956,17.222222126543212,0,0,0,1,3,51,2,6,1,0,1,0
1600.0,0.0,2,10000.0,4.0,0,38.0,0,0.0,7.3783837129967145,6.2499999609375,1,1,0,2,3,5,1,6,1,6,2,0
2350.0,0.0,4,10000.0,2.0,0,27.0,0,0.0,7.762596048540069,4.255319130828429,1,1,0,1,3,2,0,0,1,3,1,0
1300.0,362.6,0,31000.0,4.0,1,29.0,0,0.2789230747775148,7.170888478512505,23.846153662721896,0,0,1,0,3,15,0,25,1,10,1,0
2550.0,1028.0,0,31000.0,4.0,1,29.0,0,0.40313725332103034,7.844240718141811,12.156862697424067,0,0,0,1,3,10,1,6,1,4,1,0
2500.0,0.0,7,20000.0,3.0,0,26.0,0,0.0,7.824445930877619,7.999999967999999,1,1,2,0,3,11,0,6,1,220,1,0
2530.0,1028.0,0,31000.0,4.0,1,29.0,0,0.4063241090659126,7.836369760545124,12.25296437844678,0,0,0,1,3,10,1,6,1,4,1,0
2400.0,0.0,4,28000.0,3.0,0,23.0,0,0.0,7.783640596221253,11.666666618055554,1,1,0,1,3,2,0,6,2,2,0,0
1850.0,0.0,2,41000.0,5.0,0,35.0,0,0.0,7.523481312573497,22.162162042366692,1,1,0,2,3,0,1,6,2,6,2,0
10000.0,0.0,10,30000.0,3.0,0,26.0,0,0.0,9.210440366976517,2.999999997,1,1,0,0,0,0,1,0,1,0,1,0
4500.0,0.0,10,74000.0,5.0,0,44.0,0,0.0,8.412054873292933,16.444444407901237,1,1,0,2,3,4,1,6,2,3,2,0
2480.0,300.0,4,17000.0,3.0,0,40.0,0,0.1209677414477107,7.816416983691801,6.85483868203694,0,0,0,0,3,1,1,6,1,1,2,0
4300.0,890.2,10,20000.0,3.0,0,34.0,0,0.20702325533250407,8.366602832783736,4.651162779881017,0,1,0,0,3,22,0,15,1,0,1,1
4800.0,2100.0,0,31000.0,4.0,1,26.0,0,0.4374999990885417,8.476579508530941,6.458333319878473,0,0,2,2,3,3,1,6,1,267,1,0
1500.0,500.0,2,15000.0,5.0,0,26.0,0,0.33333333111111113,7.313886831633462,9.999999933333333,0,1,2,0,3,51,2,6,1,166,1,0
1500.0,150.0,0,31000.0,4.0,1,31.0,0,0.09999999933333334,7.313886831633462,20.66666652888889,0,0,0,0,3,2,0,6,1,4,1,0
4800.0,2100.0,0,31000.0,4.0,1,26.0,0,0.4374999990885417,8.476579508530941,6.458333319878473,0,0,2,2,3,3,1,6,1,267,1,0
4800.0,1168.7,7,45000.0,5.0,0,26.0,0,0.24347916615941842,8.476579508530941,9.37499998046875,0,1,2,2,3,3,1,6,1,267,1,0
1500.0,250.0,0,31000.0,4.0,1,35.0,0,0.16666666555555557,7.313886831633462,20.66666652888889,0,0,0,0,3,21,0,6,1,3,2,0
3500.0,0.0,7,50000.0,5.0,0,30.0,0,0.0,8.160803920954665,14.285714244897958,1,1,0,0,4,4,1,6,1,26,1,0
2153.3,0.0,0,31000.0,4.0,1,24.0,0,0.0,7.6752211237843815,14.396507619019607,1,0,0,1,3,0,1,25,1,0,0,0
3500.0,0.0,10,92000.0,5.0,0,23.0,0,0.0,8.160803920954665,26.285714210612245,1,1,0,1,3,0,1,6,1,5,0,0
2400.0,0.0,4,31000.0,4.0,1,49.0,0,0.0,7.783640596221253,12.916666612847221,1,0,2,0,3,38,0,3,1,111,3,0
6000.0,0.0,10,70000.0,5.0,0,32.0,0,0.0,8.699681400989514,11.666666647222224,1,1,0,1,3,10,1,6,1,2,1,0
800.0,0.0,0,31000.0,4.0,1,21.0,0,0.0,6.68586094706836,38.74999951562501,1,0,1,1,3,9,0,25,2,16,0,0
3000.0,0.0,4,49000.0,5.0,0,25.0,0,0.0,8.006700845440367,16.333333278888887,1,1,1,2,3,2,0,6,2,13,1,0
3000.0,4.8,7,20000.0,4.0,0,28.0,0,0.0015999999946666665,8.006700845440367,6.666666644444444,0,1,2,0,3,0,1,6,1,102,1,0
3000.0,0.0,4,45000.0,5.0,0,33.0,0,0.0,8.006700845440367,14.99999995,1,1,0,0,3,19,0,15,5,0,1,0
4000.0,0.0,4,64000.0,5.0,0,51.0,0,0.0,8.294299608857235,15.999999959999998,1,0,0,0,3,11,0,6,5,5,3,0
3500.0,0.0,7,92000.0,5.0,0,43.0,0,0.0,8.160803920954665,26.285714210612245,1,1,1,2,3,0,1,18,1,90,2,0
21000.0,619.6,10,20000.0,3.0,0,32.0,0,0.02950476189071202,9.952325334619427,0.9523809519274377,0,1,0,0,3,3,1,0,1,1,1,0
3000.0,0.0,7,31000.0,4.0,1,33.0,0,0.0,8.006700845440367,10.333333298888888,1,0,0,0,3,2,0,6,4,3,1,0
2000.0,0.0,4,29000.0,5.0,0,23.0,0,0.0,7.601402334583733,14.499999927500001,1,1,1,0,0,2,0,6,5,18,0,0
20000.0,600.0,10,20000.0,5.0,0,40.0,0,0.029999999985,9.90353755128617,0.9999999995,0,1,0,0,3,51,2,6,4,5,2,0
1000.0,500.0,0,31000.0,4.0,1,21.0,0,0.4999999950000001,6.90875477931522,30.999999690000003,0,0,2,0,3,2,0,6,1,93,0,0
4800.0,0.0,7,59000.0,3.0,0,28.0,0,0.0,8.476579508530941,12.29166664105903,1,1,0,2,3,15,0,6,2,6,1,0
2000.0,500.0,4,26000.0,5.0,0,21.0,0,0.24999999875,7.601402334583733,12.999999935,0,0,2,0,3,2,0,6,1,93,0,0
4000.0,1700.0,0,31000.0,4.0,1,48.0,0,0.42499999893749996,8.294299608857235,7.749999980625,0,0,2,0,0,2,0,15,1,59,3,0
5000.0,0.0,10,100000.0,5.0,0,32.0,0,0.0,8.517393171418904,19.99999996,1,1,0,0,3,0,1,1,1,0,1,0
1800.0,0.0,2,31000.0,4.0,1,25.0,0,0.0,7.496097345175956,17.222222126543212,1,0,0,2,2,8,0,6,4,2,1,0
19850.0,600.0,10,20000.0,5.0,0,40.0,0,0.030226700236661613,9.89600966268017,1.007556674555387,0,1,0,2,3,51,2,0,4,5,2,0
3300.0,0.0,10,51000.0,5.0,0,29.0,0,0.0,8.101980731853192,15.454545407713498,1,0,1,0,3,3,1,15,2,12,1,0
2100.0,0.0,4,33000.0,5.0,0,54.0,0,0.0,7.650168700845001,15.714285639455781,1,0,0,2,3,46,1,25,2,1,3,0
3000.0,0.0,7,30000.0,3.0,0,24.0,0,0.0,8.006700845440367,9.999999966666666,1,1,0,1,3,5,1,0,1,2,0,0
1400.0,0.0,0,31000.0,4.0,1,23.0,0,0.0,7.244941546337007,22.14285698469388,1,0,0,0,3,0,1,0,1,0,0,0
5000.0,0.0,10,31000.0,4.0,1,25.0,0,0.0,8.517393171418904,6.1999999876,1,0,0,0,3,3,1,0,1,5,1,0
3600.0,0.0,7,63000.0,5.0,0,32.0,0,0.0,8.188966863648876,17.499999951388887,1,1,2,2,3,1,1,25,2,32,1,0
4150.0,0.0,7,68000.0,5.0,0,35.0,0,0.0,8.33110454805304,16.385542129191467,1,1,0,1,3,3,1,6,5,19,2,0
1900.0,0.0,2,30000.0,3.0,0,30.0,0,0.0,7.550135342488429,15.789473601108034,1,1,0,2,0,1,1,6,1,4,1,0
2400.0,0.0,4,31000.0,4.0,1,26.0,0,0.0,7.783640596221253,12.916666612847221,1,0,2,1,3,8,0,6,1,129,1,0
2100.0,600.0,4,24000.0,5.0,0,31.0,0,0.28571428435374147,7.650168700845001,11.428571374149659,0,1,1,1,3,11,0,6,4,20,1,0
1500.0,0.0,0,31000.0,4.0,1,38.0,0,0.0,7.313886831633462,20.66666652888889,1,0,0,0,3,2,0,0,1,0,2,0
3500.0,0.0,10,50000.0,5.0,0,27.0,0,0.0,8.160803920954665,14.285714244897958,1,1,1,0,3,38,0,18,1,12,1,0
6500.0,0.0,7,112000.0,5.0,0,40.0,0,0.0,8.77971129020447,17.230769204260355,1,1,2,0,3,0,1,7,2,14,2,0
2050.0,0.0,4,30000.0,5.0,0,21.0,0,0.0,7.62608275807238,14.634146270077334,1,1,0,0,3,6,0,6,2,5,0,0
